Marine Megafauna Group,Marine Megafauna Common Name,Marine Megafauna Species,Consumer Class,Consumer Group,Consumer Common Name,Consumer Species,Scavenging,Predation,Consuming Placenta,Consuming Excreta,Consuming Eggs,Interaction Type Unknown,Notes,Source 1 Type,Source 1 Interaction Type,Source 1 Title,Source 1 Authors,Source 1 Link,Source 2 Type,Source 2 Interaction Type,Source 2 Title,Source 2 Authors,Source 2 Link,Source 3 Type,Source 3 Interaction Type,Source 3 Title,Source 3 Authors,Source 3 Link,Source 4 Link,Source 5 Link
Cetaceans,Humpback whale,Megaptera novaeangliae,Carnivore,Canid,Dingo,Canis lupus dingo,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,Insects for breakfast and whales for dinner: the diet and body condition of dingoes on Fraser Island (K’gari),Behrendorff et al (2016),https://doi.org/10.1038/srep23469,Peer-reviewed article,Scavenging,"Utilisation of stranded marine fauna washed ashore on K’gari (Fraser Island), Australia, by dingoes",Behrendorff et al (2018),10.1071/ZO18022,,,,,,,
Cetaceans,Humpback whale,Megaptera novaeangliae,Bird,Bird,Turkey vulture,Cathartes aura,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,Stable isotope evidence for Turkey Vulture reliance on food subsidies from the sea,Blásquez et al,https://doi.org/10.1016/j.ecolind.2015.12.015,,,,,,,,,,,,
Cetaceans,Humpback whale,Megaptera novaeangliae,Bird,Bird,Bald eagle,Haliaeetus leeucocephalus,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,The composition and interactions of scavengers on a humpback whale carcass in Alaska,Young et al (2022),https://doi.org/10.1898/1051-1733-103.1.51,,,,,,,,,,,,
Cetaceans,Humpback whale,Megaptera novaeangliae,Bird,Bird,Corvid (Corvidae),,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,The composition and interactions of scavengers on a humpback whale carcass in Alaska,Young et al (2022),https://doi.org/10.1898/1051-1733-103.1.51,,,,,,,,,,,,
Cetaceans,Humpback whale,Megaptera novaeangliae,Bird,Bird,Gull (Laridae),,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,The composition and interactions of scavengers on a humpback whale carcass in Alaska,Young et al (2022),https://doi.org/10.1898/1051-1733-103.1.51,,,,,,,,,,,,
Cetaceans,Humpback whale,Megaptera novaeangliae,Bird,Bird,Great blue heron,Ardea herodias,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,The composition and interactions of scavengers on a humpback whale carcass in Alaska,Young et al (2022),https://doi.org/10.1898/1051-1733-103.1.51,,,,,,,,,,,,
Cetaceans,Humpback whale,Megaptera novaeangliae,Bird,Bird,American robin,Turdus migratorius,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,The composition and interactions of scavengers on a humpback whale carcass in Alaska,Young et al (2022),https://doi.org/10.1898/1051-1733-103.1.51,,,,,,,,,,,,
Cetaceans,Indo-pacific bottlenose dolphin,Tursiops aduncus,Carnivore,Canid,Dingo,Canis lupus dingo,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,Insects for breakfast and whales for dinner: the diet and body condition of dingoes on Fraser Island (K’gari),Behrendorff et al (2016),https://doi.org/10.1038/srep23469,,,,,,,,,,,,
Cetaceans,Melon-headed whale,Peponocephala electra,Carnivore,Canid,Dingo,Canis lupus dingo,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,Insects for breakfast and whales for dinner: the diet and body condition of dingoes on Fraser Island (K’gari),Behrendorff et al (2016),https://doi.org/10.1038/srep23469,Peer-reviewed article,Scavenging,"Utilisation of stranded marine fauna washed ashore on K’gari (Fraser Island), Australia, by dingoes",Behrendorff et al (2018),10.1071/ZO18022,,,,,,,
Cetaceans,Minke whale,Balaenoptera acutorostrata,Carnivore,Canid,Dingo,Canis lupus dingo,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,Peer-reviewed article,Scavenging,Insects for breakfast and whales for dinner: the diet and body condition of dingoes on Fraser Island (K’gari),Behrendorff et al (2016),https://doi.org/10.1038/srep23469,,,,,,,,,,,,
